
county,precincts,reporting,cort,cox,fendig,giuliani,huckabee,hunter,mccain,paul,romney,trancredo,thompson
*,2259,2259,14623,12789,16689,103158,93751,16708,136500,14411,78899,11333,62104
Abbeville,19,19,72,66,82,553,600,73,811,74,417,69,357
Aiken,78,78,501,502,586,4000,3639,619,4264,515,2906,394,2481
Allendale,13,13,36,28,31,110,352,36,343,24,168,20,138
Anderson,81,81,518,460,626,3985,3902,575,5784,504,3080,424,2003
Bamberg,18,18,61,39,59,479,339,56,284,51,302,37,274
Barnwell,20,20,85,75,82,491,629,71,699,75,275,59,352
Beaufort,81,81,539,486,644,3816,3422,607,4311,487,2540,405,2355
Berkeley,55,55,502,504,569,3200,3283,605,4239,551,2484,440,2298
Calhoun,17,17,51,53,56,377,422,73,452,57,401,47,233
Charleston,184,184,1144,998,1294,7860,6965,1285,11555,1086,5878,877,5020
Cherokee,38,38,178,167,193,1104,989,197,1540,192,835,153,794
Chester,27,27,107,104,113,661,847,124,946,95,522,86,435
Chesterfield,34,34,128,103,174,762,999,141,1016,125,623,83,631
Clarendon,30,30,124,116,131,583,545,127,1631,121,701,103,569
Colleton,37,37,131,120,131,819,678,176,1351,127,699,99,463
Darlington,38,38,229,179,283,1612,1325,302,2330,224,1176,181,747
Dillon,25,25,104,85,131,545,608,109,749,102,754,80,498
Dorchester,54,54,384,344,406,3327,2312,401,4169,373,2117,299,1827
Edgefield,17,17,85,52,100,678,619,91,716,98,463,64,332
Fairfield,27,27,93,95,91,454,470,109,797,91,432,66,429
Florence,68,68,478,406,525,2702,2652,537,4228,444,2138,375,1967
Georgetown,39,39,229,199,224,1376,1353,260,2566,235,1405,188,614
Greenville,144,144,1438,1297,1714,10079,9427,1691,13398,1486,7589,1077,6316
Greenwood,43,43,180,177,218,1885,1644,200,1635,182,1195,154,798
Hampton,23,23,87,64,91,712,274,84,445,102,524,64,433
Horry,119,119,874,745,910,5767,5069,919,8151,821,4422,639,3480
Jasper,19,19,74,48,68,375,580,72,668,60,347,37,201
Kershaw,39,39,193,150,237,1499,1217,205,2067,195,987,146,1026
Lancaster,34,34,214,182,262,1637,1622,251,1868,207,1159,161,917
Laurens,39,39,196,161,239,1390,1509,221,1831,181,1159,147,691
Lee,27,27,66,46,68,562,345,97,403,83,477,44,350
Lexington,93,93,878,718,1012,6029,5262,989,8173,862,4846,704,3299
Marion,22,22,125,107,156,825,887,148,1141,109,545,107,520
Marlboro,20,20,106,77,116,556,401,91,770,85,693,87,462
McCormick,15,15,36,28,33,308,198,34,463,31,211,19,100
Newberry,35,35,128,118,139,931,521,132,1226,120,542,93,594
Oconee,35,35,242,207,271,1747,1557,307,2388,234,1194,196,1031
Orangeburg,58,58,325,261,314,2568,2357,393,2922,305,1905,244,1418
Pickens,57,57,404,312,376,2663,2214,434,3052,329,2149,279,1536
Richland,129,129,1221,1130,1442,8660,7894,1420,11025,1226,6909,931,5131
Saluda,23,23,76,57,73,377,553,78,433,76,419,60,278
Spartanburg,97,97,851,728,947,5625,5799,949,8003,863,4493,665,3664
Sumter,59,59,303,261,406,2896,1908,369,3493,337,1515,248,1196
Union,28,28,75,63,94,820,467,107,868,89,626,58,421
Williamsburg,33,33,108,86,137,887,831,120,1030,109,753,92,447
York,68,68,644,585,835,4866,4265,823,6266,668,3924,532,2978
