
county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,richardson,uncommitted-d,giuliani,huckabee,hunter,mccain,paul,romney,thompson
*,1797,1797,0,173585,0,261748,24446,54137,340470,0,116907,218541,72847,9713,262250,131124,179689,97129
Carson City,26,26,0,4750,0,8236,639,1394,7101,0,2943,5770,1823,234,7231,3420,4099,2486
Churchill County,19,19,0,1833,0,2916,338,728,4639,0,1594,2719,862,116,3349,2035,1833,1134
Clark County,1078,1078,0,110730,0,169171,15818,34966,226856,0,75916,139978,47880,6328,172702,86305,117487,62777
Douglas County,41,41,0,5120,0,7981,679,1432,7937,0,3566,6438,1790,253,7041,3321,5283,2589
Elko County,41,41,0,3442,0,4886,431,811,6298,0,2198,3741,1341,182,4841,2759,3399,1803
Esmeralda County,5,5,0,160,0,95,17,77,173,0,121,109,55,6,128,56,231,58
Eureka County,4,4,0,228,0,227,18,57,385,0,80,193,51,7,416,154,72,102
Humboldt County,15,15,0,891,0,1400,153,344,2244,0,785,1376,429,49,1519,775,1149,520
Lander County,9,9,0,420,0,602,59,99,1031,0,226,561,236,30,622,370,368,250
Lincoln County,5,5,0,512,0,659,65,117,910,0,374,616,187,24,1035,270,282,223
Lyon County,40,40,0,4272,0,5805,545,1328,8193,0,2661,4900,1692,232,6061,3210,4434,2275
Mineral County,12,12,0,492,0,642,54,226,876,0,314,384,186,29,587,422,610,386
Nye County,33,33,0,4151,0,6431,542,1084,5737,0,2349,4771,1526,202,5432,2555,3719,2089
Pershing County,6,6,0,285,0,1020,71,144,446,0,138,712,171,19,443,221,349,189
Storey County,15,15,0,266,0,607,61,113,996,0,394,558,160,23,643,316,480,257
Washoe County,438,438,0,35314,0,49988,4833,10880,65132,0,22379,44655,14110,1931,48742,24627,34946,19515
White Pine County,10,10,0,719,0,1082,123,337,1516,0,869,1060,348,48,1458,308,948,476
