
county,precincts,reporting,cort,cox,fendig,giuliani,huckabee,hunter,mccain,paul,romney,trancredo,thompson
*,2259,2249,56,83,23,9112,128908,1035,143224,15773,64970,115,67897
Abbeville,19,19,1,0,0,11,905,2,540,102,207,0,355
Aiken,78,78,3,2,2,432,5893,36,6355,817,2636,2,2078
Allendale,13,13,0,2,0,11,113,0,230,18,36,0,40
Anderson,81,81,1,3,1,192,8434,43,5985,765,2592,3,2976
Bamberg,18,18,0,0,0,9,265,1,341,25,76,0,71
Barnwell,20,20,0,0,0,32,611,1,700,46,104,0,111
Beaufort,81,81,2,4,2,1052,3115,12,7950,347,4119,2,1583
Berkeley,55,55,2,4,1,315,3989,46,5834,525,2247,4,2227
Calhoun,17,17,0,1,0,18,480,1,503,53,164,2,218
Charleston,184,184,6,6,4,1254,5571,65,15155,1447,6480,3,4174
Cherokee,38,38,1,0,0,45,1827,8,1213,171,507,1,767
Chester,27,27,0,0,0,21,709,3,483,72,123,0,386
Chesterfield,34,34,1,1,0,23,1078,8,624,49,165,1,254
Clarendon,30,30,1,0,0,26,844,1,817,50,270,26,319
Colleton,37,37,0,1,0,44,815,8,1311,110,285,0,338
Darlington,38,38,1,2,0,60,2272,3,1513,130,634,3,514
Dillon,25,25,0,1,0,13,650,1,416,25,113,0,136
Dorchester,54,54,2,1,0,323,3060,39,5237,499,2220,2,1989
Edgefield,17,17,0,0,0,50,895,8,853,90,284,0,341
Fairfield,27,27,1,0,0,24,439,1,502,52,224,1,259
Florence,68,68,1,1,0,166,3987,17,3470,280,1446,4,1494
Georgetown,39,39,1,2,0,202,1436,12,2580,108,1343,2,905
Greenville,144,144,11,9,2,887,16775,239,15297,2930,10188,12,12438
Greenwood,43,43,0,2,0,97,2295,25,2262,220,847,2,1057
Hampton,23,23,0,3,0,18,352,0,337,17,59,0,65
Horry,119,109,1,2,0,529,3733,33,4347,391,2602,4,2057
Jasper,19,19,0,1,0,28,440,1,347,21,142,1,83
Kershaw,39,39,0,1,0,85,2165,14,2514,238,861,1,991
Lancaster,34,34,1,1,0,90,1968,18,1288,163,500,3,978
Laurens,39,39,1,1,1,55,2256,13,1893,213,520,1,1012
Lee,27,27,0,0,0,10,311,2,284,28,59,0,143
Lexington,93,93,3,8,1,659,9935,52,11448,1117,5646,7,5605
Marion,22,22,0,1,0,19,637,2,575,31,174,0,183
Marlboro,20,20,1,0,1,10,304,0,255,25,78,0,82
McCormick,15,15,0,2,0,33,237,5,411,21,231,0,181
Newberry,35,35,0,1,0,60,918,4,1468,102,496,1,659
Oconee,35,35,1,1,1,128,3048,5,3380,330,1246,3,1020
Orangeburg,58,58,3,0,0,60,1449,7,1806,149,501,0,603
Pickens,57,57,4,1,0,153,5764,36,4062,698,1436,5,2480
Richland,129,129,3,3,2,758,6236,44,10955,1044,5495,4,4068
Saluda,23,23,0,2,0,19,589,1,778,73,200,0,279
Spartanburg,97,97,1,5,1,482,10297,139,8232,1129,3974,4,5893
Sumter,59,59,0,0,1,108,2931,6,2506,164,935,5,1290
Union,28,28,0,1,0,10,859,5,540,58,167,0,416
Williamsburg,33,33,0,1,0,13,581,0,676,18,113,0,118
York,68,68,2,6,3,478,7440,68,4951,812,2225,6,4661
